"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OG0038649",2369.55044629495,0.111427476673389,0.043420798206356,2.5662235904516,0.0102812531166959,0.119628531454039
"OG0039547",31.7450995319455,0.220046001828758,0.721225550528425,0.305100119744143,0.760289900003691,0.936883010111302
"OG0032981",4100.38385906923,-0.0798574020169074,0.0635027286373093,-1.2575428447021,0.208557134838384,0.596891075154966
"OG0001230",618.598024869655,0.103018350937927,0.082546533628443,1.24800335531509,0.212029828440735,0.601668452900458
"OG0011907",0.525769014271072,0.880036140819627,4.18440371355342,0.21031339255559,0.833423083289112,NA
"OG0006959",214.811912789061,-0.583642362483671,0.360362056048522,-1.61959993480858,0.105318243624958,0.437883114340983
"OG0013264",72.047459542417,0.424751990237529,0.737699332484704,0.575779279624516,0.564764380571178,0.855902342053941
"OG0014091",783.938462277186,0.0817038547308823,0.142005635015668,0.575356426678895,0.565050266802157,0.856069735563869
"OG0024751",1096.82513313975,-0.164659036185353,0.0966515052376583,-1.70363654223976,0.0884490101511635,0.40384340406442
"OG0056978",6.76621160034943,-0.937199337128136,0.77894883500884,-1.20315904589228,0.228914779696077,NA
"OG0090183",2728.5104607326,0.103690483834243,0.090441914781492,1.14648704734702,0.251593683591751,0.640244774635107
"OG0070224",225.854957356955,-0.11003679279702,0.185819737399973,-0.592169563560235,0.553737048496626,0.850010156516163
"OG0046666",119.246510250836,0.0622242349545374,0.166778752969914,0.373094497029622,0.709078114208003,0.914723543881953
"OG0067581",1127.74615145449,-0.659104470324172,0.249684820550469,-2.63974585587972,0.00829682194914594,0.105690259852517
"OG0039619",27.7617792311233,-0.208699092549381,2.70411562634075,-0.0771783168280403,0.938481690853049,0.988070746691885
"OG0054190",73.1209972720685,0.198371041528858,0.22493930931849,0.881886950439532,0.377837944609807,0.746265614800424
"OG0087482",6.49435964746854,0.205013580160882,0.501525569225798,0.408779916201202,0.682701179944971,NA
"OG0068521",12276.8095596096,0.340681099753738,0.359616469520038,0.94734565468714,0.343462673878175,0.72248680447529
"OG0049137",70.4956165440297,-0.917287855379983,0.209901122423035,-4.37009504661571,1.24192467656851e-05,0.00102260606347237
"OG0091396",590.503564660563,0.176055469909236,0.211993830192123,0.830474498949723,0.406270560017826,0.766809923560763
"OG0050080",1.02760898131103,-2.09539964667109,1.74490041970786,-1.20087061874965,0.229801393010106,NA
"OG0027487",159.83042500355,-0.0133052764415614,0.178520026711446,-0.0745310018526244,0.940587873847471,0.988263253208548
"OG0016873",331.799452611619,-0.0628903282361313,0.148376087054825,-0.423857573578506,0.671669687054213,0.900362902956279
"OG0022803",106.3881001064,0.078838137023866,0.201827150072101,0.390622059498446,0.69607661751465,0.910188644860412
"OG0032537",92.0764420456807,0.0651155508662456,0.194905173202068,0.334088366134526,0.738312878692779,0.926844156216999
"OG0030613",295.719557852801,0.0314805201958781,0.113171945480462,0.27816540629597,0.780885389049969,0.94361657891194
"OG0058665",3514.55227421428,-0.0398456037725444,0.239795837350154,-0.166164701659776,0.8680273372241,0.969085208202619
"OG0083673",284.920929107417,-0.158682599089243,0.186678094542324,-0.850033312576293,0.395306565722145,0.757639661309117
"OG0071811",3.12553530568524,-0.746357921528612,1.01957615189975,-0.732027637305895,0.464151699188016,NA
"OG0017750",400.042115157399,0.11186115422787,0.0846850558306773,1.32090784059385,0.18653209512234,0.569290618720778
"OG0013071",996.114613681026,-0.0550502560666198,0.180827743872231,-0.304434789085889,0.760796666925466,0.936983232974086
"OG0011688",4038.53641065489,0.0811111946660157,0.0485285678580905,1.67141125827584,0.0946404736931364,0.415919410847647
"OG0039055",504.377052269416,-0.0935270384403007,0.0963261817971163,-0.970940991279907,0.331577664097514,0.712252548903408
"OG0054828",5248.02415766201,-0.0627109181585696,0.0743985395253928,-0.842905231186237,0.399281447640257,0.761790310939462
"OG0074268",364.503568787612,0.0812189683796216,0.0989260992300977,0.821006478691835,0.411642577929031,0.769406810451871
"OG0007170",2573.88561440668,0.0316985311355031,0.0369524034799238,0.857820551584011,0.390991559658744,0.755668052607376
"OG0017051",22304.3046106455,-0.177570226550471,0.119661463727246,-1.48393827903711,0.13782529549755,0.50078928849434
"OG0012725",372.293156028435,-0.270215055470152,0.225853755785387,-1.19641603714095,0.231534246101999,0.622334721777148
"OG0027434",958.429928053678,-0.0788792524576417,0.0970886925931539,-0.81244530491498,0.416536158915617,0.773471668364849
"OG0057644",20.0745181166216,-1.94333580480303,1.7454498006403,-1.11337249807478,0.265548481498065,0.654401823355522
"OG0038321",4192.59305769519,0.0356770845630585,0.124462286952854,0.286649759027592,0.77438051026415,0.94151824527875
"OG0088003",1183.74588932046,-0.0328722165859695,0.100168405722333,-0.328169509626533,0.742783500178324,0.929139616552496
"OG0011083",55.4016319582765,-1.06455596852113,1.24363305823813,-0.856004881399099,0.391995079394982,0.755766172000591
"OG0038845",2962.75212207109,0.021936758566015,0.0797939095760567,0.274917705907187,0.783379463749659,0.944390288713127
"OG0056458",0.0453686241147486,-0.578994271418766,4.27968591836817,-0.13528896336382,0.89238341081305,NA
"OG0072412",447.884977971104,0.691730054308676,0.255974573700534,2.70233892495094,0.00688535368073861,0.0942231921656946
"OG0031888",241.92062763825,-0.23961438153645,0.137459808980218,-1.74315957016157,0.0813057454328505,0.387599451620019
"OG0040134",31.9516826921901,0.843143402390664,0.72184248888111,1.16804346568401,0.242789232622699,0.63515692925529
"OG0036725",1099.02611614361,0.226297829217204,0.0920041330230792,2.45964851557742,0.0139073143207619,0.14432422603335
