"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OG0038649",382.448661654994,0.0550271430018682,0.337240848539795,0.163168676748763,0.870385627989287,0.974368848286798
"OG0039547",0.205270048411457,-1.49467774492346,3.89572112277115,-0.383671648411077,0.701221828622158,NA
"OG0032981",1023.35172500965,0.0428192885416807,0.063096076792176,0.678636307019811,0.497368332167953,0.864262646290416
"OG0001230",1087.13937927981,-0.127877263719377,0.0709629955945264,-1.80202741792429,0.071541091935958,0.490494824790116
"OG0011907",0.666019582403522,1.55458575196158,3.90531547192164,0.398069186251076,0.690579187307638,NA
"OG0006959",515.647248063068,0.479363759705553,0.280921145537098,1.70639970440477,0.0879336856155332,0.526983904987223
"OG0013264",160.900676023379,0.0546231589549398,0.214782581533307,0.254318383571851,0.799249598559029,0.960340841601966
"OG0014091",2315.62709145974,-0.00340893723978563,0.0997114829541699,-0.0341880106361719,0.972727227079696,0.993668665302781
"OG0024751",2728.14923629838,-0.000807526523030373,0.052949221767482,-0.0152509611298254,0.987831965276484,0.99753988262171
"OG0056978",2.78980227311772,-0.116109148301977,1.17099785818874,-0.0991540227764126,0.921015979403647,0.984029213566836
"OG0090183",3082.36046338809,0.000882309098852302,0.0948753593785061,0.00929966542031553,0.992580047491572,0.998361285907098
"OG0070224",132.078446258347,-0.158322940218522,0.178211521616605,-0.888399014734464,0.374326155179022,0.801982410633724
"OG0046666",87.0912305220171,-0.101893630906866,0.192696713089685,-0.528777213026165,0.596960006905913,0.903575751509205
"OG0067581",1530.88497070003,0.400247424008711,0.221968290477772,1.80317388194145,0.071360910929721,0.490238422894772
"OG0039619",761.241789304529,-0.00875354281690265,0.0978859598230928,-0.0894259282201732,0.928743418276891,0.986000827252379
"OG0054190",32.3303661324189,-0.519497126065138,0.526657066291195,-0.986404928967385,0.323934447327426,0.765806890777166
"OG0087482",30.9032338013975,0.297786234347745,0.559891362567905,0.531864312001471,NA,NA
"OG0068521",10399.2876783453,-0.176691153460994,0.11134784215051,-1.58683949368465,0.112549001553752,0.567723089739027
"OG0049137",58.6135457624869,0.0577073134658374,0.227754894025572,0.25337463641663,0.79997872551926,0.960460916782427
"OG0091396",201.818815019525,0.0912949009604012,0.168162339621577,0.542897423798016,0.587200429817749,0.900295594255903
"OG0050080",2.56755658910505,2.3847422605599,1.17431098107466,2.03075871638151,0.0422794768003019,0.414045536788568
"OG0027487",126.082828896496,0.209797656696776,0.139892440268117,1.49970689119926,0.133690344724179,0.597102221957893
"OG0016873",928.77260365871,-0.0815291146919889,0.0626362102964487,-1.30162911047975,0.193043203518353,0.660133590112653
"OG0022803",401.500315599756,-0.0495653230155218,0.20168466870576,-0.245756523456095,0.80587071425333,0.961704799403455
"OG0032537",268.914599919287,-0.0261236860012296,0.105200644227829,-0.248322490731658,0.803884898787609,0.961054326694566
"OG0030613",456.030251314768,-0.0948842358287606,0.111870034711359,-0.84816489128278,0.396346146787845,0.813708081323598
"OG0058665",132.945220620077,0.264547894029009,0.166497409042879,1.58890096578547,0.112082753124473,0.567530908498485
"OG0083673",517.375675072659,0.337490271901122,0.171847621390684,1.96389259955982,0.0495425482573938,0.436728110393
"OG0071811",344.892205309116,-0.144620383296123,0.158200681380963,-0.914157777537394,0.360633946568644,0.791650301687675
"OG0017750",326.285924970428,-0.196984910409382,0.0936934693631015,-2.10244013535226,0.0355147385132513,0.394681136827109
"OG0013071",1822.58674876474,-0.0708546888671984,0.123233015787859,-0.57496514561627,0.565314869595934,0.891471318658572
"OG0011688",3214.32699897874,0.0394437476347808,0.0583382739575234,0.676121265834847,0.498963655886095,0.864618891524152
"OG0039055",362.818876063054,-0.0329869693889322,0.103667637179214,-0.318199298127212,0.750333765132846,0.947250072058565
"OG0054828",3456.46702868697,-0.188921486745376,0.0892391289437876,-2.11702522179905,0.034257707279097,0.392557843192719
"OG0074268",173.626587533318,0.179807085461278,0.20459103168753,0.878861033048093,0.379476628959808,0.804725275369137
"OG0007170",1874.4999015937,-0.124135236044534,0.104437853832006,-1.18860385856082,0.234595588785779,0.698288008784309
"OG0017051",25168.3118518251,0.215628545180051,0.132986591913534,1.62143071776927,0.10492529734324,0.556621469869316
"OG0012725",615.893836789281,0.228702351988352,0.192087330209087,1.19061653748537,0.233804156425716,0.698099238186181
"OG0027434",1292.4124097644,-0.0590858885369114,0.0911654945432401,-0.648116799376181,0.516909409206667,0.873203208772805
"OG0057644",9.07939661022428,-1.48554124452224,0.544478653572529,-2.72837371084256,0.0063647456071084,0.209183023661604
"OG0038321",4443.7848276148,-0.224137918640463,0.0875452527290903,-2.56025211708578,0.0104596252040231,0.259879550485748
"OG0088003",1119.54448184121,-0.0263125993954469,0.0836792826864331,-0.314445804871998,0.753182471776025,0.947687383942056
"OG0011083",240.378134528368,0.109903804409112,0.218026337602867,0.504084990911976,0.61420165360361,0.910352127715534
"OG0038845",1270.71315046688,-0.172710555814575,0.149248640982199,-1.15720019075533,0.247190579832545,0.706038722415085
"OG0056458",95.5770333978894,0.801009170655668,0.524232839987062,1.52796450271112,0.126521351592899,0.585980995304222
"OG0072412",352.820666263387,-0.164906137000205,0.173808545169283,-0.948780376934821,0.342732324184744,0.778870130177731
"OG0031888",554.749364272808,-0.165929324209949,0.0970422043420768,-1.7098676326956,0.0872903529508881,0.525664921300406
"OG0040134",323.289641681706,-0.032234212499752,0.308640066800076,-0.104439494307886,0.916820582111953,0.983375568831196
"OG0036725",1207.76893660404,0.0540980391040994,0.0836236651075439,0.646922603003909,0.517682036269171,0.873596622978946
