	Site	Species
Blue_eyed_V1_1	V1	Blue_eyed
Blue_eyed_V1_2	V1	Blue_eyed
Blue_eyed_V1_3	V1	Blue_eyed
Blue_eyed_V1_4	V1	Blue_eyed
Blue_eyed_V1_5	V1	Blue_eyed
Blue_eyed_C_1	Control	Blue_eyed
Blue_eyed_C_2	Control	Blue_eyed
Blue_eyed_C_4	Control	Blue_eyed
Blue_eyed_C_5	Control	Blue_eyed
Blue_eyed_V2_1	V2	Blue_eyed
Blue_eyed_V2_3	V2	Blue_eyed
Blue_eyed_V2_4	V2	Blue_eyed
Blue_eyed_V2_5	V2	Blue_eyed
