"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OG0038649",3438.49662076466,-0.0856607412072863,0.0602134962628544,-1.4226169633689,0.154847223767837,0.788864596774381
"OG0039547",44.548709373606,0.489043066459846,0.327241917179098,1.49443894802815,0.135060928024003,0.761110678735892
"OG0032981",4602.80352920542,-0.0660740444367556,0.0601717971480889,-1.09808992864449,0.272165222691231,0.87473154300834
"OG0001230",127.276142037561,-0.0677159755814962,0.249369334385451,-0.271548928613762,0.78596887321629,0.986539579467722
"OG0011907",0,NA,NA,NA,NA,NA
"OG0006959",75.3680644753631,0.563663142320169,0.443747876696365,1.27023287754424,0.20400168964668,0.827900064374097
"OG0013264",26.9185627938736,-0.41312591482299,1.88867577203786,-0.218738399115075,0.826853835062623,0.988125395801405
"OG0014091",2362.69919155216,-0.248700603941955,0.170389802174967,-1.45959793818278,0.144400606254438,0.778505959788111
"OG0024751",3374.5692101494,-0.100287208767837,0.0772348173295775,-1.29847149556774,0.194125365101555,0.823849945001052
"OG0056978",2.2982475174919,-1.0608343882531,1.15161544576724,-0.921170684321924,0.356961321143187,NA
"OG0090183",3201.57933563682,-0.00323629999927598,0.171147953807134,-0.0189093700934511,0.984913404624547,0.998004602895869
"OG0070224",179.471827248421,0.0502015735234279,0.247058877141533,0.203196801119876,0.838981213018916,0.98932249633727
"OG0046666",86.9258487126125,-0.00316630249889171,0.147198010377191,-0.0215104979393277,0.982838429256716,0.997956729939224
"OG0067581",1078.75025728984,0.326897431298508,0.221599187657583,1.47517432150353,0.140165683213189,0.770485143273057
"OG0039619",6.90259241884274,0,3.67176553125962,0,1,1
"OG0054190",47.7859518244902,0.172625673070857,0.469456451728112,0.367713921995121,0.713086558542616,0.977295435689937
"OG0087482",11.2196465760013,-0.123659205998759,0.608994680509811,-0.203054657054213,0.839092311797846,0.98932249633727
"OG0068521",15891.6794858175,0.00157647249484345,0.073454873245901,0.0214617822505252,0.982877289781579,0.997956729939224
"OG0049137",82.6993097232701,0.203070459557587,0.234620213859845,0.865528405318456,0.386748832199886,0.914333417002299
"OG0091396",520.791421713614,0.0490908587387945,0.127849432372659,0.383974006202102,0.700997713531532,0.974945814644323
"OG0050080",1.9890932304695,1.28646953562527,1.70311781149234,0.755361447660521,0.45003213849565,NA
"OG0027487",121.484989889858,0.18138992185261,0.241464488556167,0.751207446433336,0.452527819471418,0.928629448230015
"OG0016873",981.464723207331,-0.00566907824143199,0.0708555544336393,-0.0800089461827786,0.936230140758614,0.994721564724073
"OG0022803",131.4007094657,0.0670389324215599,0.122904016613472,0.54545762025333,0.585438820346832,0.957491948451168
"OG0032537",116.843806139054,0.234235114713655,0.150145305458834,1.56005620021118,0.118746600841891,0.737793597693999
"OG0030613",134.868610397326,-0.186190778509637,0.127519998298029,-1.46009081708492,0.144265116047443,0.777980764369863
"OG0058665",3292.9745317495,-0.980956647697685,0.445603678119507,-2.20141057146885,0.0277069712878073,0.498359634087823
"OG0083673",317.978665963601,0.0366226776332685,0.16789875471925,0.218123581050417,0.827332824706969,0.988125395801405
"OG0071811",1.08162487033674,1.33088898601079,3.4036940657493,0.391013105262092,0.695787548909987,NA
"OG0017750",328.151355760696,0.014225629680093,0.118673505463692,0.119871993538148,0.904584550390406,0.992285751493616
"OG0013071",575.635096481612,-0.29983042555659,0.160709132612965,-1.86567135720078,0.0620873593928168,0.637879110727396
"OG0011688",4223.18762379975,-0.0894810841153386,0.056473198823367,-1.58448761500498,0.113082797833993,0.731270054655007
"OG0039055",584.579578975581,-0.0537629609287561,0.151103650888746,-0.355801865888338,0.721988951634249,0.977864456742344
"OG0054828",5121.97841322707,-0.169474530000498,0.0431638241003748,-3.92630943927478,8.62591717109349e-05,0.0145663938476821
"OG0074268",289.854364248674,-0.0395357582917626,0.110557523682546,-0.357603507883239,0.720640052782324,0.977864456742344
"OG0007170",2255.03486807305,0.0117981820980669,0.0611213005927108,0.193028976537746,0.84693627483248,0.98932249633727
"OG0017051",27378.077957898,0.0521179553567185,0.133221275470693,0.391213454251786,0.695639464175315,0.973687442663629
"OG0012725",481.143338985271,0.181714939875518,0.157395832417714,1.15450922101459,0.248291460344749,0.861219236134561
"OG0027434",1439.37931713964,0.0526863742882667,0.0574009681284356,0.91786560411978,0.358689231009265,0.906057245297603
"OG0057644",38.6132288859583,0.133197284952658,0.432248643368888,0.308149688833114,0.757968433316552,0.982559957828399
"OG0038321",3.87885905441423,3.35371713358015,1.45492041554489,2.3050863110778,0.021161739993294,NA
